tradRes1,tradRes2
貪了三年國庫,贪了三年国库
貪婪之島,贪婪之岛
貪官,贪官
貪心,贪心
貪念,贪念
貪汙,贪污
貪腐,贪腐
責任,责任
責任心,责任心
責備,责备
責罵,责骂
貴,贵
貴且無用,贵且无用
貴州,贵州
貴族,贵族
貴様,贵様
貴賓,贵宾
貴賤,贵贱
貴重,贵重
貴重的,贵重的
買,买
買罪,买罪
買菜,买菜
買買買,买买买
買賣,买卖
買車,买车
買餸,买
費時,费时
貼上,贴上
貼標籤,贴标签
貼紙,贴纸
貿易,贸易
貿易戰,贸易战
資優,资优
資助,资助
資料,资料
資料夾,资料夹
資本,资本
資本主義,资本主义
資本化,资本化
資格,资格
資歷,资历
資源,资源
資源配置,资源配置
資訊,资讯
資質,资质
資金,资金
賊,贼
賊人,贼人
賓客,宾客
賓拉登,宾拉登
賞心悅目,赏心悦目
賠償,赔偿
賠款,赔款
賠錢,赔钱
賣火柴的小女孩,卖火柴的小女孩
賣身,卖身
賣身契,卖身契
賣電腦,卖电脑
賤人,贱人
質數,质数
質料,质料
質詢,质询
質量,质量
賭博,赌博
賭場,赌场
賭氣,赌气
賺,赚
賺錢,赚钱
購物,购物
購物車,购物车
購買,购买
購買水平,购买水平
賽跑,赛跑
賽車,赛车
賽馬,赛马
贅肉,赘肉
贊同,赞同
贊成,赞成
贊賞,赞赏
贏,赢
贓,赃
贖金,赎金
贗品,赝品
走動,走动
走開,走开
走馬看花,走马看花
起義,起义
起跑線,起跑线
起飛,起飞
超市獎賞,超市奖赏
越強,越强
越權,越权
越獄,越狱
越過,越过
越野車,越野车
趕,赶
趕得及,赶得及
趕快,赶快
趕時間,赶时间
趙子龍,赵子龙
趙樹海,赵树海
趙爽,赵爽
足球場,足球场
足跡,足迹
跌打損傷,跌打损伤
跑車,跑车
距離,距离
跟隨,跟随
路上行人撐傘行走,路上行人撑伞行走
路不拾遺,路不拾遗
路標,路标
路燈,路灯
路癡,路痴
路線,路线
路過,路过
路邊攤,路边摊
跳動,跳动
跳樓,跳楼
跳繩,跳绳
跳起來,跳起来
跳躍,跳跃
踉蹌,踉跄
踏實,踏实
踐踏,践踏
蹦噠,蹦哒
身份證,身份证
身心障礙,身心障碍
身邊人,身边人
身體,身体
身體不好,身体不好
身體健康,身体健康
身體預警機制,身体预警机制
躲貓貓,躲猫猫
車,车
車子,车子
車座,车座
車流,车流
車燈,车灯
車牌號,车牌号
車票,车票
車禍,车祸
車程,车程
車站,车站
車輛,车辆
車輪,车轮
車速,车速
車陣,车阵
軌道,轨道
軍,军
軍事,军事
軍事要塞,军事要塞
軍事電影,军事电影
軍人,军人
軍師,军师
軍校,军校
軍火,军火
軍艦,军舰
軍隊,军队
軚盤,軚盘
軟,软
軟件,软件
軟綿綿的,软绵绵的
軟體,软体
軸心國,轴心国
較量,较量
輔導員,辅导员
輔音,辅音
輕,轻
輕小說,轻小说
輕忽,轻忽
輕撫,轻抚
輕蔑,轻蔑
輕重,轻重
輕飄飄,轻飘飘
輕鬆,轻松
輩分,辈分
輪子,轮子
輪廓,轮廓
輪椅,轮椅
輪胎,轮胎
輪船,轮船
輪迴,轮回
輪迴劫,轮回劫
輸,输
輸出,输出
輸液,输液
輸血,输血
輸贏,输赢
輻射,辐射
輻射4,辐射4
輿論導向,舆论导向
轉,转
轉圈圈,转圈圈
轉折,转折
轉折詞,转折词
轉換,转换
轉機,转机
轉發,转发
轉譯,转译
轉錄,转录
轉頭,转头
轟隆,轰隆
辦,办
辦公室,办公室
辦公室政治,办公室政治
辦公桌,办公桌
辨識,辨识
辯方,辩方
辯論,辩论
辯論比賽,辩论比赛
農作物,农作物
農夫,农夫
農村,农村
農業,农业
農民,农民
農產品,农产品
農田,农田
農藥,农药
迦爾納,迦尔纳
迴圈,回圈
迴紋針,回纹针
迴避,回避
迷亂,迷乱
迷團,迷团
迷戀,迷恋
迷離,迷离
迷霧,迷雾
迸發,迸发
追殺,追杀
追趕,追赶
追隨,追随
送石頭,送石头
送禮,送礼
逃學,逃学
逃稅,逃税
逃離,逃离
逃難,逃难
逍遙,逍遥
透徹,透彻
逗號,逗号
這一天是母親給我的,这一天是母亲给我的
這個,这个
這帖禁止水,这帖禁止水
這樣,这样
這裡,这里
這邊,这边
通用電氣,通用电气
通緝令,通缉令
通訊,通讯
通過,通过
通關,通关
通順,通顺
通風報信,通风报信
逞強,逞强
連接,连接
連篇,连篇
連結,连结
連繫,连系
連花菜,连花菜
連長,连长
週二,周二
週期,周期
週期性,周期性
進京趕考,进京赶考
進制,进制
進化,进化
進升,进升
進去,进去
進步,进步
進行,进行
進行曲,进行曲
進退兩難,进退两难
進門,进门
逼良為娼,逼良为娼
遇見,遇见
遊子,游子
遊戲,游戏
遊樂園,游乐园
遊樂場,游乐场
遊玩,游玩
遊行,游行
運,运
運動,运动
運動員,运动员
運氣,运气
運氣差,运气差
運用,运用
運費,运费
運輸,运输
過㓉,过㓉
過世,过世
過來,过来
過分,过分
過去,过去
過境,过境
過失,过失
過山車,过山车
過年,过年
過度,过度
過往,过往
過敏,过敏
過時,过时
過期,过期
過氣,过气
過江,过江
過程,过程
過節,过节
過關,过关
過馬路,过马路
道德倫理,道德伦理
道賀,道贺
達到,达到
達成,达成
達文西,达文西
達標,达标
達芬奇,达芬奇
違反,违反
遠,远
遠傳,远传
遠古,远古
遠行,远行
遠離,远离
適合,适合
遮陽,遮阳
遲到,迟到
遵紀守法,遵纪守法
遷就,迁就
遷徙,迁徙
選手,选手
選拔,选拔
選擇,选择
選擇題,选择题
選美,选美
選舉,选举
選舉人,选举人
遺失,遗失
遺失物,遗失物
遺照,遗照
遺產,遗产
遺跡,遗迹
遼遠,辽远
避讓,避让
避開,避开
邀約,邀约
邀請,邀请
還,还
還有,还有
還未完,还未完
還款,还款
還活天空,还活天空
還行,还行
還錢,还钱
還願,还愿
邊緣,边缘
邊緣人,边缘人
邏輯,逻辑
那兒,那儿
那裡,那里
那邊,那边
邪惡,邪恶
郊遊,郊游
部長,部长
部門,部门
部隊,部队
郭麗婷,郭丽婷
郵件,邮件
郵局,邮局
郵差,邮差
郵資,邮资
都是孤獨的,都是孤独的
鄉下,乡下
鄉愁,乡愁
鄉村,乡村
鄉郊,乡郊
鄉里,乡里
鄙視,鄙视
鄭州,郑州
鄭重,郑重
鄰,邻
鄰國,邻国
鄰居,邻居
酒店業,酒店业
酒後,酒后
酒釀丸子,酒酿丸子
醃製食品,腌制食品
醉後大丈夫,醉后大丈夫
醉漢,醉汉
醉雞,醉鸡
醜,丑
醜小鴨,丑小鸭
醜陋,丑陋
醫,医
醫學,医学
醫生,医生
醫療,医疗
醫療事故,医疗事故
醫護,医护
醫護人員,医护人员
醫院,医院
醬油,酱油
醬缸,酱缸
釀製,酿制
釋放,释放
釋迦,释迦
重慶森林,重庆森林
重複,重复
重視,重视
重質不重量,重质不重量
重點,重点
野獸,野兽
野生動物,野生动物
野蜂飛舞,野蜂飞舞
野蠻,野蛮
野豬,野猪
量詞,量词
釐清,厘清
金光閃閃,金光闪闪
金剛,金刚
金屬,金属
金屬物,金属物
金屬的藍白色,金属的蓝白色
金屬盔甲和武器,金属盔甲和武器
金幣,金币
金條,金条
金獎,金奖
金起範,金起范
金邊眼睛,金边眼睛
金銀財寶,金银财宝
金錢,金钱
金錢觀,金钱观
金髮,金发
金魚,金鱼
金黃,金黄
金黃色,金黄色
金龜子,金龟子
針孔,针孔
針灸,针灸
針頭,针头
釣魚,钓鱼
鈍い,钝い
鈔票,钞票
鈕,钮
鈣,钙
鈴聲,铃声
鉗制,钳制
鉗子,钳子
鉗鍋,钳锅
鉛筆,铅笔
銀,银
銀包,银包
銀器,银器
銀幕,银幕
銀河,银河
銀色,银色
銀行,银行
銀行家,银行家
銅,铜
銅錢,铜钱
銘記,铭记
銳利,锐利
銷售員,销售员
鋒利,锋利
鋼七連,钢七连
鋼梁,钢梁
鋼琴,钢琴
鋼筆,钢笔
鋼筋,钢筋
鋼鐵,钢铁
錄取工作/大學,录取工作/大学
錄音機,录音机
錐子,锥子
錘子,锤子
錢,钱
錢幣,钱币
錢滾錢,钱滚钱
錢財,钱财
錢鐘書,钱钟书
錯,错
錯了,错了
錯覺,错觉
錯誤,错误
錯過,错过
鍋子,锅子
鍛煉,锻炼
鍛造,锻造
鍛鍊,锻炼
鍵盤,键盘
鍵盤下,键盘下
鎖,锁
鎖匙,锁匙
鎖子甲,锁子甲
鎖時扣,锁时扣
鎖片,锁片
鎖鏈,锁链
鎖鑰,锁钥
鎮壓,镇压
鎮定,镇定
鎮定劑,镇定剂
鎮暴,镇暴
鎮江,镇江
鎳,镍
鏈接,链接
鏟屎官,铲屎官
鏡子,镜子
鏡片,镜片
鏡面,镜面
鏡頭,镜头
鏢局,镖局
鐘,钟
鐘聲,钟声
鐵,铁
鐵匠,铁匠
鐵塔,铁塔
鐵拐李,铁拐李
鐵板燒,铁板烧
鐵球,铁球
鐵的,铁的
鐵絲網,铁丝网
鐵罐,铁罐
鐵製,铁制
鐵路,铁路
鐵銹,铁锈
鐵鍋,铁锅
鐵鍬,铁锹
鐵鎚,铁锤
鐵鏽,铁锈
鐵飯碗養老金,铁饭碗养老金
鐵齒銅牙紀曉嵐,铁齿铜牙纪晓岚
鑄造,铸造
鑑別,鉴别
鑽洞,钻洞
鑽石,钻石
铁柵,铁栅
長,长
長久,长久
長命百歲,长命百岁
長城,长城
長壽,长寿
長壽麵,长寿面
長大,长大
長大成人,长大成人
長安,长安
長安居,长安居
長官,长官
長島冰茶,长岛冰茶
長得像蘆葦,长得像芦苇
長擘,长擘
長方形,长方形
長方體,长方体
長時間,长时间
長椅,长椅
長槍,长枪
長江,长江
長沙,长沙
長沙王,长沙王
長痘,长痘
長相,长相
長老,长老
長者,长者
長胖,长胖
長袍,长袍
長袖,长袖
長裙,长裙
長褲,长裤
長襪,长袜
長輩,长辈
長途跋涉,长途跋涉
長遠,长远
長頸鹿,长颈鹿
長髮,长发
門,门
門口,门口
門可羅雀,门可罗雀
門檻,门槛
門派,门派
門第觀念,门第观念
門關,门关
閃,闪
閃亮,闪亮
閃光燈,闪光灯
閃現,闪现
閃耀,闪耀
閃過了,闪过了
閃閃發亮,闪闪发亮
閃閃發光,闪闪发光
閃開,闪开
閃電,闪电
閃靈,闪灵
閉上眼睛,闭上眼睛
閉塞,闭塞
開,开
開口,开口
開天,开天
開始,开始
開屏,开屏
開工,开工
開店,开店
開心,开心
開會,开会
開朗,开朗
開水,开水
開玩笑,开玩笑
開端,开端
開罐器,开罐器
開車,开车
開銷,开销
開闊,开阔
開關,开关
閒話,闲话
閒逛,闲逛
間諜,间谍
間隔,间隔
閘門,闸门
閨蜜,闺蜜
閱歷,阅历
閱覽,阅览
閱讀,阅读
闊氣,阔气
闖入,闯入
關上,关上
關係,关系
關係好,关系好
關卡,关卡
關島,关岛
關愛,关爱
關懷,关怀
關杰尼,关杰尼
關節,关节
關鍵,关键
防務,防务
防禦,防御
阻擋,阻挡
阻礙,阻碍
阻礙進步,阻碍进步
阿基米德裸奔的罪魁禍首,阿基米德裸奔的罪魁祸首
阿姆斯狀,阿姆斯状
阿斯蘭,阿斯兰
阿爾托莉雅,阿尔托莉雅
降落傘,降落伞
陣間,阵间
陰,阴
陰天,阴天
陰影,阴影
陰暗,阴暗
陰濕,阴湿
陰謀,阴谋
陰險,阴险
陳奕迅,陈奕迅
陳彥伶,陈彦伶
陳述,陈述
陳麗宣,陈丽宣
陶淵明,陶渊明
陸羽,陆羽
陸貞,陆贞
陽光,阳光
陽剛,阳刚
隊伍,队伍
隊友,队友
階級,阶级
隔開,隔开
隔離,隔离
隕石,陨石
障礙,障碍
隨便,随便
隨和,随和
隨機,随机
險惡,险恶
險隘,险隘
隱匿者,隐匿者
隱喻,隐喻
隱士,隐士
隱忍,隐忍
隱瞞,隐瞒
隱蔽,隐蔽
隱藏,隐藏
隱諱說出,隐讳说出
难捱,难挨
雀躍,雀跃
雄偉,雄伟
雄壯,雄壮
雄心壯志,雄心壮志
雅樂,雅乐
集團,集团
集會,集会
集體,集体
雖小五臟俱全,虽小五脏俱全
雙人舞,双人舞
雙引號,双引号
雙截棍,双截棍
雙手,双手
雙打,双打
雙方,双方
雙標,双标
雙簧管,双簧管
雙義詞,双义词
雙贏,双赢
雙面膠,双面胶
雜務,杂务
雜毛,杂毛
雜種狗,杂种狗
雜耍,杂耍
雜誌,杂志
雜誌封面,杂志封面
雜食,杂食
雞,鸡
雞仔,鸡仔
雞塊,鸡块
雞尾酒,鸡尾酒
雞扒,鸡扒
雞湯,鸡汤
雞皮,鸡皮
雞肉串,鸡肉串
雞肋,鸡肋
雞肶,鸡肶
雞胸肉,鸡胸肉
雞蛋,鸡蛋
雞雞,鸡鸡
雞飛狗跳,鸡飞狗跳
雞鳴,鸡鸣
離れる,离れる
離人,离人
離別,离别
離去,离去
離奇,离奇
離婚,离婚
離家,离家
離我很近,离我很近
離開,离开
離開鳥籠,离开鸟笼
離間,离间
難,难
難以捉摸,难以捉摸
難以猜度,难以猜度
難以界定,难以界定
難以自抑,难以自抑
難入,难入
難受,难受
難吃,难吃
難度,难度
難忘,难忘
難掃,难扫
難搞,难搞
難改,难改
難料,难料
難民,难民
難當,难当
難耐,难耐
難解,难解
難過,难过
難關,难关
難題,难题
雨傘,雨伞
雨濛,雨蒙
雨濛濛,雨蒙蒙
雲,云
雲吞,云吞
雲圖,云图
雷射筆,雷射笔
電,电
電信,电信
電冰箱,电冰箱
電咶,电咶
電單車,电单车
電器,电器
電塔,电塔
電子,电子
電子設備,电子设备
電影,电影
電影探險,电影探险
電影系列,电影系列
電影院,电影院
電梯,电梯
電気,电気
電波,电波
電焊,电焊
電玩,电玩
電磁,电磁
電競,电竞
電筒,电筒
電線,电线
電線杆,电线杆
電腦,电脑
電視,电视
電視劇,电视剧
電視台,电视台
電視機,电视机
電訪,电访
電話,电话
電車,电车
電量,电量
電離層,电离层
電風扇,电风扇
電飯煲,电饭煲
需要幫助,需要帮助
震動,震动
震驚,震惊
霓虹燈,霓虹灯
霧,雾
霧化,雾化
霧氣,雾气
霧霾,雾霾
霧靄,雾霭
露營,露营
露點,露点
霸氣,霸气
靈,灵
靈光,灵光
靈光一閃,灵光一闪
靈巧,灵巧
靈異,灵异
靈異故事,灵异故事
靈長,灵长
靈長類,灵长类
靈魂,灵魂
青山綠水,青山绿水
青澀,青涩
青行燈,青行灯
靚,靓
靚仔,靓仔
靛藍,靛蓝
靛雨風蓮,靛雨风莲
靜,静
靜候,静候
靜寂,静寂
靜止,静止
靜脈,静脉
靜電,静电
面對,面对
面積,面积
面積人口,面积人口
面試,面试
面額,面额
鞋櫃,鞋柜
鞠躬盡瘁,鞠躬尽瘁
鞦韆,秋千
韓國,韩国
韓星,韩星
音樂,音乐
音樂书,音乐书
音樂家,音乐家
音樂廳,音乐厅
音樂盒,音乐盒
音樂细胞,音乐细胞
音樂音符,音乐音符
音韻學,音韵学
音響,音响
音響因子,音响因子
響,响
響亮,响亮
頂尖,顶尖
頂樓,顶楼
頂端,顶端
頂部,顶部
頃刻,顷刻
項鍊,项链
順,顺
順利,顺利
順眼,顺眼
順豐,顺丰
順風,顺风
預付,预付
預定,预定
預想,预想
預習,预习
預言,预言
預防,预防
頑固,顽固
頑張れ,顽张れ
頑皮,顽皮
頓時,顿时
領主,领主
領土,领土
領導,领导
領導人,领导人
領帶,领带
領航,领航
領隊,领队
領養,领养
頭,头
頭七,头七
頭先,头先
頭大,头大
頭疼,头疼
頭痛,头痛
頭盔,头盔
頭緒,头绪
頭腦,头脑
頭頂,头顶
頭頭,头头
頭骨,头骨
頭髮,头发
頸椎痛,颈椎痛
頸鏈,颈链
頻果,频果
頻率,频率
顆粒,颗粒
額外的,额外的
額外索支,额外索支
額頭,额头
顏值,颜值
顏料,颜料
顏色,颜色
顏藝,颜艺
願意,愿意
願望,愿望
顛覆,颠覆
顧客,顾客
顯微鏡,显微镜
顯眼,显眼
顯示屏,显示屏
顯露,显露
顴骨,颧骨
風,风
風之谷,风之谷
風光,风光
風力發電,风力发电
風味,风味
風土民情,风土民情
風度,风度
風情,风情
風扇,风扇
風景,风景
風景宜人,风景宜人
風暴,风暴
風月,风月
風格,风格
風氣,风气
風水,风水
風流,风流
風潮,风潮
風琴,风琴
風衣,风衣
風車,风车
風險,风险
風雅,风雅
風雨,风雨
風雨來臨,风雨来临
颱風,台风
飄,飘
飄零,飘零
飛,飞
飛刀,飞刀
飛天,飞天
飛天遁地,飞天遁地
飛揚,飞扬
飛機,飞机
飛機起跑聲,飞机起跑声
飛碟,飞碟
飛禽,飞禽
飛翔,飞翔
飛行,飞行
飛行員,飞行员
飛霜,飞霜
飛鴿,飞鸽
飛鴿傳書,飞鸽传书
食物夾,食物夹
食物鏈,食物链
食藥,食药
食譜,食谱
食髮鬼,食发鬼
飢,饥
飢餓,饥饿
飯,饭
飯圈,饭圈
飯堂,饭堂
飯店,饭店
飯桌,饭桌
飯碗,饭碗
飯糰,饭团
飯菜,饭菜
飯鍋,饭锅
飲料,饮料
飲料店,饮料店
飲茶,饮茶
飲酒,饮酒
飲食習慣,饮食习惯
飽腹,饱腹
飾品,饰品
飾物,饰物
餃子,饺子
餅,饼
餅乾,饼干
養,养
養家,养家
養育,养育
養育之人,养育之人
餐廳,餐厅
餐車,餐车
餐飲,餐饮
餐飲管理,餐饮管理
餐館,餐馆
餐點,餐点
餓,饿
餓了,饿了
餵養,喂养
饅頭,馒头
饞,馋
首飾,首饰
香檳,香槟
香氣,香气
香港劏房,香港㓥房
香港電影,香港电影
香煙,香烟
香腸,香肠
香鍋,香锅
香雲（紗）,香云（纱）
馬,马
馬上,马上
馬不停蹄,马不停蹄
馬克思,马克思
馬匹,马匹
馬卡龍,马卡龙
馬戲團,马戏团
馬桶,马桶
馬虎,马虎
馬路,马路
馬車,马车
馬達,马达
馬鈴薯,马铃薯
馬駒,马驹
馬鹿,马鹿
馬齒徒長,马齿徒长
馬龍,马龙
駕照,驾照
駕車,驾车
駕駛,驾驶
駕駛執照,驾驶执照
駙馬,驸马
駡人,骂人
駱駝,骆驼
駿馬,骏马
騎,骑
騎士,骑士
騎師,骑师
騎行,骑行
騎車,骑车
騎騾找馬,骑骡找马
騙,骗
騙人,骗人
騙子,骗子
騙錢,骗钱
騰訊,腾讯
騷擾,骚扰
驕傲,骄傲
驚呼,惊呼
驚嘆號,惊叹号
驚嚇,惊吓
驚心動魄,惊心动魄
驚恐,惊恐
驚慌失措,惊慌失措
驚茶,惊茶
驚覺,惊觉
驚訝,惊讶
驟雨,骤雨
驢,驴
驢子,驴子
马逸譞,马逸
马逸譞爸爸,马逸爸爸
骨氣,骨气
骨質疏鬆,骨质疏松
骨頭,骨头
骯髒,肮脏
骷髏,骷髅
骷髏人,骷髅人
髒,脏
髒亂,脏乱
髒亂差,脏乱差
髒污,脏污
髒話,脏话
體力,体力
體味,体味
體型,体型
體態,体态
體溫,体温
體積,体积
體育,体育
體育館,体育馆
體能,体能
體貼,体贴
體適能,体适能
體重,体重
體面,体面
體香,体香
體驗,体验
高中二年級,高中二年级
高利貸,高利贷
高圓圓,高圆圆
高層,高层
高樓大廈,高楼大厦
高溫,高温
高漲,高涨
高爾基,高尔基
高爾夫,高尔夫
高禮帽,高礼帽
高空彈跳,高空弹跳
高級,高级
高考沒加分,高考没加分
高考題,高考题
高興,高兴
高談闊論,高谈阔论
高貴,高贵
高達,高达
高達SD,高达SD
高鐵,高铁
高飽和度,高饱和度
高麗菜,高丽菜
髮型屋,发型屋
髮夾,发夹
髮小,发小
髮絲,发丝
髮色,发色
鬆口氣,松口气
鬆土,松土
鬆身褲,松身裤
鬆軟,松软
鬍子,胡子
鬥,斗
鬥地主,斗地主
鬥毆,斗殴
鬥氣,斗气
鬧哄哄,闹哄哄
鬧鐘,闹钟
鬧騰,闹腾
鬱悶,郁闷
鬱金,郁金
鬱鬱,郁郁
鬼女紅葉,鬼女红叶
鬼臉,鬼脸
鬼話連篇,鬼话连篇
魏晉,魏晋
魔獸世界,魔兽世界
魔羅,魔罗
魔術,魔术
魚,鱼
魚乾,鱼干
魚池,鱼池
魚缸,鱼缸
魚群,鱼群
魚腥味,鱼腥味
魚船,鱼船
魚蛋,鱼蛋
魚雷,鱼雷
魚餌,鱼饵
魚香茄子,鱼香茄子
魯夫,鲁夫
魯智深,鲁智深
魯莽,鲁莽
魯蛇,鲁蛇
魯迅,鲁迅
鮑魚,鲍鱼
鮟鱇鱼,鱼
鮭魚,鲑鱼
鮮味,鲜味
鮮明,鲜明
鮮血,鲜血
鯉魚,鲤鱼
鯉魚旗,鲤鱼旗
鯉魚王,鲤鱼王
鯊魚,鲨鱼
鯛魚,鲷鱼
鯨魚,鲸鱼
鯽魚湯,鲫鱼汤
鱈魚,鳕鱼
鱉,鳖
鳥,鸟
鳥叫,鸟叫
鳥嘴面具,鸟嘴面具
鳥類,鸟类
鳩叫,鸠叫
鳳凰,凤凰
鳳凰傳奇,凤凰传奇
鳳梨,凤梨
鳴叫,鸣叫
鴉片,鸦片
鴉片戰爭,鸦片战争
鴨嘴獸,鸭嘴兽
鴨子,鸭子
鴨肉,鸭肉
鴨舌帽,鸭舌帽
鴿子,鸽子
鵝,鹅
鵝卵石,鹅卵石
鵝黃,鹅黄
鶴,鹤
鶴雲,鹤云
鷹架,鹰架
鷹眼,鹰眼
鷺鷥,鹭鸶
鹹,咸
鹹味,咸味
鹹魚,咸鱼
鹽湖,盐湖
鹽燒,盐烧
麥,麦
麥克風,麦克风
麥可,麦可
麥當勞,麦当劳
麵,面
麵包,面包
麵條,面条
麵疙瘩,面疙瘩
麵粉,面粉
麵食,面食
麵館,面馆
麻將,麻将
麻煩,麻烦
麻煩人,麻烦人
黃,黄
黃土高坡,黄土高坡
黃大蒜,黄大蒜
黃岐,黄岐
黃帝,黄帝
黃昏,黄昏
黃沙,黄沙
黃河,黄河
黃片,黄片
黃牛黨,黄牛党
黃瓜,黄瓜
黃種人,黄种人
黃綠大夫,黄绿大夫
黃網,黄网
黃色,黄色
黃葉,黄叶
黃蓋,黄盖
黃衣,黄衣
黃連,黄连
黃金,黄金
黃銅,黄铜
黑客帝國,黑客帝国
黑幫,黑帮
黑暗中對話,黑暗中对话
黑無毛！,黑无毛！
黑白琴鍵,黑白琴键
黑社會,黑社会
黑種人,黑种人
黑箱作業,黑箱作业
黑紅,黑红
黑絲襪,黑丝袜
黑貓,黑猫
黑髮,黑发
黑龍江,黑龙江
默守成規,默守成规
默寫,默写
點亮,点亮
點子,点子
點心,点心
點水,点水
點火,点火
點菜,点菜
點鈔機,点钞机
點點,点点
黨,党
黨派,党派
鼓勵,鼓励
鼓浪嶼,鼓浪屿
鼠類,鼠类
齒孔,齿孔
齒輪,齿轮
齜牙咧嘴,龇牙咧嘴
齷齪,龌龊
龍,龙
龍井,龙井
龍捲風,龙卷风
龍椅,龙椅
龐大,庞大
龜孫,龟孙
龜毛,龟毛
龜裂,龟裂
